"","age","gender","is_transgender","sexual_orientation","race","birthplace","marital_status","education","hh_income","home_tenure","occupation","union_status","military","urban_rural","religion","religious_attendance","party_id_3","party_id_7","guns_in_household","voting_duty_choice_7","gov_run_by","gov_waste_3","spend_services_7","defense_spend_7","health_insurance_7","abortion_7","job_income_7","assist_black_7","fedspend_social_security_5","fedspend_public_schools_5","fedspend_border_security_5","fedspend_crime_5","fedspend_highways_5","fedspend_aid_poor_5","fedspend_environment_5","dei_7","death_penalty_4","stay_out_foreign_4","use_force_5","votes_counted_5","voter_id_7","felons_vote_7","climate_action_7","paid_leave_7","trans_bathroom_7","trans_sports_7","gay_job_protect_4","gay_adoption_6","gay_marriage_7","birthright_7","immig_children_6","border_wall_7","urban_unrest_7","ukraine_aid_7","israel_aid_7","palestinians_aid_7"
"556",31,"Man","No","Heterosexual","White","US state or DC","Never married","Graduate","$100,000–$249,999","Own/buying","Working","Yes","Never served","Suburban","Other Christian","Every week","Democrat","Strong Democrat",0,1,"Big interests","Waste a lot",7,1,1,1,3,2,3,1,2,1,2,1,1,2,2,4,4,5,3,3,1,1,2,3,1,1,1,6,6,6,1,2,7,1
"557",39,"Man","No","Heterosexual","White","US state or DC","Never married","Bachelors","$100,000–$249,999","Rent","Working","No","Never served","Small town","Mainline Protestant","Once or twice a month","Democrat","Strong Democrat",2,1,"Big interests","Waste some",4,1,2,3,2,2,3,1,3,3,2,2,1,4,4,1,4,4,2,4,1,1,4,4,1,1,1,7,5,6,1,4,6,2
"558",45,"Woman","No","Heterosexual","White","US state or DC","Married","HS diploma","$30,000–$59,999","Own/buying","Working","No","Never served","Small town","Jewish","Every week","Republican","Strong Republican",0,7,"Big interests","Waste a lot",4,7,4,6,3,1,2,1,1,2,2,3,3,7,1,1,3,3,1,1,4,1,7,1,1,1,1,6,5,1,4,2,1,1
"559",76,"Woman","No","Heterosexual","White","US state or DC","Widowed","HS diploma","$30,000–$59,999","Own/buying","Not working","No","Never served","Suburban","Other Christian","Every week","Democrat","Strong Democrat",0,2,"Big interests","Waste a lot",3,5,1,1,5,6,1,1,3,1,3,3,3,4,1,3,4,5,1,4,6,6,4,4,2,1,4,7,6,7,7,4,4,4
"560",37,"Man","No","Heterosexual","Hispanic","Other country","Never married","Some college","$60,000–$99,999","Own/buying","Working","No","Never served","Rural","Jewish","Almost every week","Republican","Strong Republican",0,7,"Big interests","Waste a lot",1,5,4,4,6,7,1,1,1,1,1,3,2,4,1,1,5,5,1,4,1,1,1,1,4,2,4,7,6,1,7,7,7,4
"561",50,"Woman","No","Heterosexual","White","US state or DC","Never married","HS diploma","$30,000–$59,999","Own/buying","Not working","No","Never served","Small town","Jewish","Almost every week","Democrat","Strong Democrat",1,7,"Big interests","Waste a lot",7,6,1,1,1,7,1,3,1,3,3,1,1,4,3,4,4,5,7,7,1,4,7,1,1,2,7,6,5,4,1,2,2,5
"562",63,"Man","No","Heterosexual","White","US state or DC","Married","Bachelors","Under $9,999","Own/buying","Working","No","Never served","Suburban","Other Christian","A few times a year","Republican","Strong Republican",2,6,"Big interests","Waste a lot",4,7,5,4,7,7,3,3,1,2,3,3,3,4,2,2,3,3,1,2,4,6,7,1,1,2,2,2,5,1,6,4,4,4
"563",78,"Woman","No","Heterosexual","White","US state or DC","Widowed","HS diploma","$30,000–$59,999","Own/buying","Not working","No","Never served","Rural","Roman Catholic","Every week","Democrat","Strong Democrat",8,1,"Big interests","Waste a lot",6,7,4,4,2,3,1,1,2,3,1,1,1,6,3,4,2,5,4,4,1,1,2,4,1,1,4,7,6,4,2,1,2,1
"564",43,"Woman","No","Heterosexual","White","US state or DC","Married","Some college","$100,000–$249,999","Own/buying","Working","No","Never served","Small town","Jewish","A few times a year","Republican","Strong Republican",1,7,"Big interests","Waste a lot",5,2,4,5,3,4,3,1,3,3,3,3,2,4,3,1,4,4,1,2,3,4,7,1,1,2,2,6,6,3,2,6,6,4
"565",79,"Woman","No","Heterosexual","White","US state or DC","Widowed","Graduate","$60,000–$99,999","Own/buying","Working","No","Never served","Urban","Not religious","A few times a year","Democrat","Strong Democrat",0,1,"Benefit of all","Waste some",6,3,1,1,1,1,3,1,3,3,1,1,1,1,4,4,5,5,6,1,1,1,1,7,1,1,1,6,6,7,1,1,7,1
"566",34,"Man","No","Gay/Lesbian","Asian/Pacific Islander","Other country","Never married","Bachelors","$250,000+","Own/buying","Working","No","Never served","Urban","Other Christian","Once or twice a month","Democrat","Strong Democrat",0,2,"Big interests","Waste a lot",6,1,3,1,4,1,2,1,2,4,2,1,1,1,2,1,3,5,6,1,1,2,1,7,1,1,1,7,6,7,1,3,7,1
"567",80,"Man","No","Heterosexual","White","US state or DC","Married","Bachelors","$100,000–$249,999","No cash rent","Not working","No","Previously served","Urban","Jewish","Almost every week","Republican","Strong Republican",5,7,"Big interests","Waste a lot",2,4,5,4,7,6,4,3,1,1,1,5,5,7,1,3,3,2,1,6,7,2,7,1,4,2,4,1,2,1,7,4,1,7
"568",36,"Man","No","Heterosexual","Black","US state or DC","Married","Some college","$100,000–$249,999","Own/buying","Working","No","Never served","Urban","Evangelical Protestant","A few times a year","Democrat","Strong Democrat",0,6,"Big interests","Waste very little",7,4,4,1,1,1,2,1,3,1,2,1,1,2,2,4,3,3,1,4,1,1,1,6,1,1,1,7,5,7,1,7,7,3
"569",60,"Woman","No","Heterosexual","White","US state or DC","Never married","Bachelors","$60,000–$99,999","Own/buying","Working","No","Never served","Rural","Evangelical Protestant","Every week","Democrat","Weak Democrat",1,2,"Big interests","Waste some",7,3,2,3,2,1,1,1,3,1,1,1,1,2,4,4,4,4,4,4,2,1,4,4,1,3,4,7,6,4,1,1,2,1
"570",69,"Woman","No","Heterosexual","White","US state or DC","Divorced","Bachelors","$10,000–$29,999","Rent","Working","No","Never served","Suburban","Other religion","Almost every week","Democrat","Strong Democrat",0,1,"Big interests","Waste some",7,7,2,1,2,1,3,1,3,1,2,1,1,2,4,4,3,5,7,2,1,4,2,3,1,1,1,7,6,7,4,2,6,1
"571",34,"Woman","No","Heterosexual","Multiracial","US state or DC","Never married","Graduate","$100,000–$249,999","Rent","Working","No","Never served","Suburban","Mainline Protestant","Every week","Democrat","Strong Democrat",0,4,"Big interests","Waste some",7,2,1,1,1,1,1,1,5,3,2,1,2,1,2,3,3,5,2,2,1,1,1,7,1,1,4,7,6,7,1,4,4,4
"572",76,"Woman","No","Heterosexual","White","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Not working","No","Never served","Small town","Evangelical Protestant","Every week","Republican","Strong Republican",0,5,"Benefit of all","Waste a lot",4,5,6,6,5,5,3,4,1,2,1,3,4,7,4,3,3,4,1,1,4,2,7,1,2,6,7,3,5,4,5,4,4,2
"573",80,"Woman","No","Heterosexual","White","US state or DC","Divorced","Some college","$10,000–$29,999","Own/buying","Not working","No","Never served","Suburban","Mainline Protestant","A few times a year","Republican","Strong Republican",1,2,"Big interests","Waste a lot",4,5,4,2,5,7,2,3,1,3,1,3,3,4,3,4,4,3,1,2,4,2,6,1,1,2,2,4,5,1,4,2,1,4
"574",67,"Woman","No","Heterosexual","White","US state or DC","Widowed","HS diploma","$30,000–$59,999","Own/buying","Working","No","Never served","Urban","Mainline Protestant","Once or twice a month","Republican","Weak Republican",0,2,"Big interests","Waste some",4,6,7,1,7,7,1,3,1,2,3,2,3,4,1,3,3,4,1,2,4,1,4,4,1,1,2,1,5,1,1,1,4,4
"575",55,"Woman","No","Heterosexual","White","US state or DC","Never married","Graduate","$100,000–$249,999","Own/buying","Working","No","Never served","Urban","Mainline Protestant","A few times a year","Democrat","Strong Democrat",0,1,"Big interests","Waste very little",6,3,2,2,3,2,2,2,2,3,1,2,1,3,3,4,3,5,7,1,1,2,2,7,1,1,1,6,6,6,2,1,3,1
"576",66,"Woman","No","Heterosexual","White","US state or DC","Married","Bachelors","$60,000–$99,999","Own/buying","Not working","Yes","Never served","Small town","Evangelical Protestant","Every week","Republican","Strong Republican",0,1,"Big interests","Waste a lot",4,4,7,6,6,6,2,3,2,2,2,3,3,6,2,3,3,3,1,2,4,4,7,7,4,3,2,4,5,2,5,2,2,2
"577",80,"Woman","No","Heterosexual","White","Other country","Married","Some college","$60,000–$99,999","Rent","Not working","No","Never served","Suburban","Mainline Protestant","Almost every week","Republican","Strong Republican",0,1,"Big interests","Waste a lot",3,6,7,5,7,7,1,4,2,1,1,3,3,7,1,4,3,3,1,4,6,4,7,1,1,2,4,1,2,1,7,2,1,7
"578",29,"Woman","No","Heterosexual","White","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Working","No","Never served","Suburban","Other Christian","Never","Democrat","Weak Democrat",0,6,"Big interests","Waste some",3,5,5,2,6,6,3,2,1,2,3,3,3,5,2,4,4,4,1,3,4,1,6,2,1,2,1,5,4,4,5,2,2,5
"579",45,"Woman","No","Heterosexual","White","US state or DC","Married","HS diploma","$100,000–$249,999","Own/buying","Working","No","Never served","Small town","Jewish","Almost every week","Republican","Weak Republican",1,6,"Big interests","Waste a lot",4,4,2,6,7,7,2,3,2,2,3,3,3,5,2,2,4,3,1,3,4,2,7,2,2,3,5,3,4,2,7,6,6,5
"580",35,"Man","No","Heterosexual","White","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Working","No","Never served","Suburban","Jewish","Every week","Republican","Weak Republican",0,2,"Big interests","Waste a lot",4,5,2,6,3,5,3,1,2,3,1,4,5,5,2,2,4,2,1,7,5,2,7,2,2,2,4,4,4,3,3,4,4,4
"581",62,"Man","No","Heterosexual","Black","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Not working","Yes","Previously served","Urban","Evangelical Protestant","Every week","Democrat","Strong Democrat",0,1,"Big interests","Waste a lot",7,3,4,1,3,4,1,1,1,1,1,1,3,2,1,4,3,5,1,1,2,1,7,1,2,2,4,1,6,4,1,2,4,4
"582",50,"Man","No","Heterosexual","Asian/Pacific Islander","Other country","Married","Less than HS","$100,000–$249,999","Own/buying","Working","No","Never served","Suburban","Not religious","Once or twice a month","Republican","Strong Republican",1,7,"Benefit of all","Waste a lot",7,1,1,2,1,3,1,1,1,1,1,3,3,4,1,2,1,5,1,1,5,1,2,5,1,1,4,7,6,2,2,2,7,1
"583",57,"Man","No","Heterosexual","White","US state or DC","Married","Bachelors","$100,000–$249,999","Rent","Working","No","Never served","Suburban","Roman Catholic","A few times a year","Republican","Strong Republican",20,6,"Big interests","Waste a lot",1,7,7,3,7,7,3,3,1,1,1,4,4,7,1,2,3,3,1,7,7,4,7,1,1,3,2,1,4,1,7,1,1,3
"584",54,"Woman","No","Heterosexual","Hispanic","US state or DC","Separated","Some college","$10,000–$29,999","Own/buying","Working","No","Never served","Urban","Mainline Protestant","A few times a year","Democrat","Strong Democrat",0,1,"Big interests","Waste a lot",6,7,3,1,3,7,1,1,1,1,2,1,1,4,1,1,4,4,4,6,1,1,7,1,1,1,2,1,1,4,5,4,4,4
"585",53,"Woman","No","Heterosexual","White","US state or DC","Married","Graduate","$250,000+","Own/buying","Working","No","Never served","Small town","Not religious","Almost every week","Democrat","Strong Democrat",6,1,"Benefit of all","Waste some",6,3,2,1,2,3,3,1,3,3,2,2,1,2,4,4,4,4,5,2,1,1,2,6,1,1,1,7,6,7,1,1,5,1
"586",59,"Man","No","Gay/Lesbian","Hispanic","US state or DC","Never married","Graduate","Under $9,999","Own/buying","Working","No","Never served","Small town","Mainline Protestant","Every week","Democrat","Strong Democrat",0,1,"Big interests","Waste a lot",5,5,5,1,5,3,1,1,1,1,1,1,1,1,1,4,2,4,4,1,1,2,1,6,1,1,1,7,6,4,1,1,2,2
"587",41,"Woman","No","Heterosexual","White","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Working","No","Never served","Urban","Not religious","Every week","Democrat","Strong Democrat",4,4,"Benefit of all","Waste some",5,4,4,1,3,2,2,1,1,1,2,2,1,2,1,4,3,4,4,4,1,1,2,5,1,1,1,6,6,4,6,2,2,2
"588",75,"Man","No","Gay/Lesbian","White","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Working","No","Never served","Other","Mainline Protestant","Once or twice a month","Democrat","Strong Democrat",0,1,"Benefit of all","Waste some",5,4,3,2,3,3,1,3,3,3,3,1,3,2,4,4,4,4,4,1,1,1,1,4,1,1,1,4,6,7,4,1,4,1
"589",80,"Woman","No","Heterosexual","White","US state or DC","Married","HS diploma","$60,000–$99,999","Own/buying","Not working","No","Never served","Suburban","Evangelical Protestant","A few times a year","Republican","Weak Republican",1,6,"Big interests","Waste a lot",3,5,7,6,6,4,3,3,2,2,3,3,4,7,2,4,3,3,1,4,6,4,7,1,3,3,4,1,1,1,6,4,1,4
"590",54,"Woman","No","Heterosexual","White","US state or DC","Divorced","Some college","$60,000–$99,999","Own/buying","Working","Yes","Never served","Small town","Other Christian","Every week","Democrat","Weak Democrat",4,1,"Big interests","Waste some",6,4,2,2,4,3,2,1,2,1,2,2,1,4,2,4,3,4,2,4,1,2,4,4,1,1,1,2,5,4,2,1,6,2
"591",69,"Woman","No","Heterosexual","Hispanic","US state or DC","Divorced","Some college","$60,000–$99,999","Own/buying","Not working","Yes","Never served","Rural","Other Christian","Once or twice a month","Republican","Strong Republican",0,6,"Big interests","Waste a lot",5,5,5,6,6,4,1,3,1,1,3,3,3,6,4,4,3,3,1,6,4,2,7,7,2,6,7,2,6,1,5,7,2,2
"592",40,"Woman","No","Heterosexual","Black","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Working","No","Never served","Suburban","Jewish","Almost every week","Democrat","Strong Democrat",0,1,"Big interests","Waste a lot",7,2,1,2,2,2,1,1,3,1,1,1,1,1,4,4,3,4,4,1,1,1,4,4,1,1,2,7,6,7,1,1,4,1
"593",80,"Woman","No","Heterosexual","White","US state or DC","Married","Some college","Under $9,999","Own/buying","Not working","No","Never served","Rural","Evangelical Protestant","Once or twice a month","Republican","Strong Republican",0,1,"Benefit of all","Waste a lot",2,4,7,7,6,7,1,3,1,2,3,3,3,6,3,4,4,3,1,4,4,4,7,1,1,6,7,1,6,1,4,7,1,1
"594",46,"Man","No","Heterosexual","White","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Working","No","Never served","Small town","Mainline Protestant","A few times a year","Republican","Strong Republican",13,6,"Big interests","Waste a lot",2,7,7,6,7,7,2,4,1,1,1,5,4,7,1,1,1,3,1,4,4,7,7,1,1,1,3,1,6,1,7,6,2,4
"595",61,"Woman","No","Heterosexual","Black","Other country","Never married","Some college","$60,000–$99,999","Own/buying","Working","No","Never served","Suburban","Mainline Protestant","Almost every week","Democrat","Strong Democrat",0,1,"Benefit of all","Waste some",7,7,1,1,1,1,1,1,1,1,1,4,1,1,3,1,5,4,1,1,1,1,4,4,4,2,4,2,1,1,1,7,7,7
"596",65,"Woman","No","Heterosexual","White","US state or DC","Never married","Graduate","$10,000–$29,999","Own/buying","Not working","No","Never served","Rural","Not religious","A few times a year","Democrat","Strong Democrat",0,1,"Big interests","Waste a lot",7,1,1,1,1,1,1,1,5,1,1,1,1,1,4,4,3,4,4,1,1,1,1,7,1,1,1,1,6,7,3,2,7,1
"597",75,"Woman","No","Heterosexual","Hispanic","US state or DC","Widowed","Bachelors","$30,000–$59,999","Own/buying","Working","No","Never served","Suburban","Other Christian","Once or twice a month","Democrat","Strong Democrat",0,2,"Benefit of all","Waste some",6,5,1,2,3,3,2,1,1,1,1,1,1,4,4,4,3,5,4,4,1,1,4,4,1,1,1,7,6,7,4,1,7,1
"598",66,"Man","No","Heterosexual","White","US state or DC","Married","Bachelors","$30,000–$59,999","Own/buying","Not working","No","Previously served","Suburban","Other Christian","Every week","Republican","Weak Republican",4,6,"Big interests","Waste a lot",2,4,6,6,4,4,2,3,2,2,3,3,3,4,4,3,4,3,1,2,4,3,4,5,3,5,2,2,5,4,6,2,2,2
"599",67,"Woman","No","Heterosexual","White","US state or DC","Widowed","Less than HS","$10,000–$29,999","Own/buying","Not working","No","Never served","Suburban","Evangelical Protestant","Every week","Republican","Strong Republican",0,1,"Benefit of all","Waste very little",5,7,6,5,4,7,2,1,1,3,3,2,2,2,1,1,2,5,1,1,2,1,7,1,1,1,1,2,2,2,1,2,2,4
"600",31,"Woman","No","Bisexual","White","Other country","Never married","Graduate","$60,000–$99,999","Own/buying","Working","No","Never served","Suburban","Not religious","A few times a year","Democrat","Strong Democrat",3,1,"Big interests","Waste a lot",6,3,3,2,3,1,3,1,3,3,3,2,1,1,4,4,5,4,7,1,1,1,1,4,1,1,1,7,6,4,1,1,4,1
"601",42,"Woman","No","Heterosexual","Black","US state or DC","Married","HS diploma","$60,000–$99,999","Own/buying","Working","No","Never served","Urban","Jewish","Once or twice a month","Democrat","Weak Democrat",0,7,"Big interests","Waste a lot",7,2,4,1,1,1,2,1,2,1,5,3,3,4,2,1,5,2,4,2,4,1,7,1,1,1,1,4,4,4,1,6,6,6
"602",67,"Man","No","Heterosexual","White","US state or DC","Married","Graduate","$60,000–$99,999","Own/buying","Working","No","Previously served","Rural","Mainline Protestant","A few times a year","Republican","Strong Republican",4,1,"Big interests","Waste a lot",5,7,5,6,5,7,1,1,1,1,1,3,1,7,1,4,1,1,1,7,1,1,7,1,4,1,1,1,1,1,7,1,1,7
"603",76,"Woman","No","Heterosexual","White","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Not working","No","Never served","Small town","Jewish","Every week","Republican","Strong Republican",4,1,"Big interests","Waste a lot",2,6,5,5,4,5,3,3,1,1,3,3,5,7,1,4,3,3,1,6,7,2,7,1,1,5,7,1,6,1,5,1,1,4
"604",30,"Woman","No","Heterosexual","White","US state or DC","Never married","Graduate","$100,000–$249,999","Rent","Working","No","Never served","Urban","Evangelical Protestant","A few times a year","Democrat","Weak Democrat",0,3,"Benefit of all","Waste a lot",6,1,2,2,2,4,5,2,1,1,3,2,1,4,3,3,4,4,1,4,1,1,4,4,1,1,1,7,6,3,5,1,7,1
"605",65,"Woman","No","Heterosexual","White","US state or DC","Divorced","Some college","$60,000–$99,999","Own/buying","Working","Yes","Previously served","Suburban","Jewish","Every week","Republican","Strong Republican",1,6,"Big interests","Waste some",4,4,5,6,2,4,1,2,1,1,1,1,1,4,2,3,2,2,2,6,4,2,6,6,3,5,7,6,5,2,7,4,4,4
"606",62,"Woman","No","Heterosexual","White","US state or DC","Widowed","HS diploma","Under $9,999","Own/buying","Not working","No","Never served","Rural","Jewish","A few times a year","Republican","Weak Republican",1,7,"Big interests","Waste a lot",4,1,4,3,4,4,2,2,3,1,3,1,4,4,2,2,4,3,4,2,4,2,4,4,2,2,2,4,4,2,1,4,4,5
"607",58,"Woman","No","Heterosexual","Asian/Pacific Islander","Other country","Divorced","Bachelors","$60,000–$99,999","Own/buying","Working","No","Previously served","Suburban","Other Christian","Once or twice a month","Democrat","Strong Democrat",0,1,"Big interests","Waste some",6,3,1,4,3,2,2,2,2,2,2,2,1,3,3,3,4,4,3,3,1,4,3,4,2,3,4,4,4,6,1,4,4,4
"608",71,"Man","No","Heterosexual","White","US state or DC","Married","Some college","$30,000–$59,999","Own/buying","Not working","No","Never served","Rural","Evangelical Protestant","Almost every week","Republican","Strong Republican",0,1,"Big interests","Waste a lot",3,7,6,5,5,4,1,3,1,1,3,4,5,6,1,2,3,3,1,7,6,6,7,1,2,3,4,1,2,1,7,2,2,4
"609",61,"Man","No","Gay/Lesbian","White","US state or DC","Married","Some college","$100,000–$249,999","Own/buying","Working","Yes","Never served","Urban","Other Christian","A few times a year","Democrat","Strong Democrat",0,1,"Benefit of all","Waste some",5,3,3,2,3,2,1,1,1,3,3,1,1,1,4,4,5,4,4,1,1,1,1,6,1,1,1,7,6,7,1,1,4,1
"610",35,"Woman","No","Heterosexual","White","US state or DC","Married","Bachelors","$250,000+","Own/buying","Working","No","Never served","Suburban","Other Christian","A few times a year","Democrat","Strong Democrat",0,1,"Big interests","Waste some",5,1,2,1,3,2,1,1,4,1,2,2,1,1,4,3,3,4,3,1,1,1,1,7,1,1,1,7,6,7,1,4,7,1
"611",77,"Woman","No","Heterosexual","White","US state or DC","Married","Graduate","$100,000–$249,999","Rent","Not working","No","Never served","Urban","Mainline Protestant","Once or twice a month","Republican","Weak Republican",0,1,"Big interests","Waste a lot",5,7,2,2,3,4,3,1,1,3,1,2,3,4,4,4,3,4,1,1,2,1,1,4,1,1,1,7,6,7,3,1,2,1
"612",74,"Man","No","Heterosexual","White","US state or DC","Married","HS diploma","$60,000–$99,999","No cash rent","Working","No","Never served","Rural","Roman Catholic","Every week","Republican","Strong Republican",2,1,"Big interests","Waste a lot",2,7,6,6,6,5,3,4,2,3,3,4,4,6,2,4,3,3,1,6,7,4,7,1,4,6,7,4,4,3,6,2,2,4
"613",45,"Woman","No","Heterosexual","White","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Working","Yes","Never served","Small town","Evangelical Protestant","Every week","Democrat","Weak Democrat",3,1,"Big interests","Waste a lot",7,5,5,6,5,4,2,1,3,2,2,3,2,5,2,2,4,3,1,2,4,2,7,1,2,3,4,6,5,4,1,4,4,4
"614",72,"Woman","No","Heterosexual","White","US state or DC","Divorced","HS diploma","Under $9,999","Own/buying","Working","No","Never served","Suburban","Jewish","Almost every week","Republican","Strong Republican",0,1,"Big interests","Waste some",4,5,5,7,3,6,2,1,1,1,3,2,3,4,2,3,2,3,1,4,2,2,7,2,2,3,4,4,5,1,5,2,2,1
"615",32,"Man","No","Heterosexual","White","US state or DC","Never married","Graduate","$30,000–$59,999","Rent","Working","Yes","Never served","Other","Mainline Protestant","Once or twice a month","Democrat","Weak Democrat",0,1,"Big interests","Waste a lot",6,2,2,2,1,3,3,1,3,2,2,2,1,4,4,3,4,4,6,1,1,1,1,4,1,1,1,6,6,5,1,1,6,1
"616",37,"Man","No","Heterosexual","Black","US state or DC","Married","Bachelors","Under $9,999","Own/buying","Working","No","Never served","Small town","Evangelical Protestant","A few times a year","Democrat","Weak Democrat",2,1,"Big interests","Waste a lot",7,4,1,1,7,1,1,1,1,3,1,3,1,2,1,1,3,4,1,1,1,1,7,1,1,1,1,2,2,7,1,7,7,1
"617",34,"Man","No","Heterosexual","White","US state or DC","Married","Less than HS","$250,000+","Own/buying","Working","No","Never served","Rural","Jewish","Every week","Republican","Strong Republican",6,4,"Big interests","Waste a lot",1,5,7,4,7,7,5,5,3,3,3,5,5,4,1,2,2,1,3,4,7,4,7,1,2,6,7,4,4,1,4,5,4,5
"618",68,"Man","No","Heterosexual","White","US state or DC","Widowed","HS diploma","$30,000–$59,999","Own/buying","Not working","No","Never served","Suburban","Other Christian","A few times a year","Republican","Strong Republican",2,1,"Big interests","Waste a lot",1,4,7,6,6,6,1,5,3,3,3,3,5,1,1,1,4,1,1,6,7,2,7,7,2,6,4,2,5,1,6,7,4,4
"619",65,"Man","No","Heterosexual","White","US state or DC","Married","HS diploma","$100,000–$249,999","Own/buying","Not working","Yes","Previously served","Small town","Mainline Protestant","Every week","Republican","Strong Republican",0,1,"Big interests","Waste a lot",7,7,1,7,6,6,1,1,1,1,1,3,3,2,1,4,2,3,1,1,6,4,7,1,2,6,7,5,5,1,7,1,1,1
"620",53,"Woman","No","Gay/Lesbian","White","Other country","Married","Bachelors","$100,000–$249,999","Own/buying","Working","Yes","Never served","Suburban","Other religion","A few times a year","Democrat","Weak Democrat",3,3,"Big interests","Waste a lot",4,6,3,2,4,4,1,1,1,3,3,2,1,4,2,3,3,4,1,2,1,1,2,4,1,1,1,6,6,4,3,1,1,2
"621",61,"Man","No","Heterosexual","Asian/Pacific Islander","Other country","Married","Graduate","$100,000–$249,999","Own/buying","Unemployed","No","Never served","Suburban","Not religious","Every week","Republican","Strong Republican",0,1,"Big interests","Waste a lot",5,6,5,5,5,6,1,5,1,1,1,3,5,7,3,4,3,2,1,7,7,2,7,1,3,6,7,2,2,1,6,6,6,7
"622",66,"Woman","No","Heterosexual","Multiracial","US state or DC","Never married","Bachelors","$10,000–$29,999","Rent","Working","No","Never served","Urban","Jewish","A few times a year","Democrat","Strong Democrat",0,4,"Benefit of all","Waste some",5,4,1,2,4,4,1,3,1,1,1,2,1,4,4,1,4,3,4,1,3,2,4,4,1,2,2,4,5,2,5,4,4,4
"623",46,"Man","No","Heterosexual","Black","US state or DC","Never married","Less than HS","$10,000–$29,999","No cash rent","Working","No","Never served","Urban","Jewish","Almost every week","Democrat","Strong Democrat",0,2,"Big interests","Waste a lot",7,7,1,1,1,1,1,1,1,1,1,1,1,4,3,4,2,5,1,1,2,1,4,4,1,2,4,4,6,4,1,4,4,4
"624",38,"Woman","No","Heterosexual","White","US state or DC","Never married","Bachelors","$30,000–$59,999","Own/buying","Working","No","Never served","Small town","Jewish","Every week","Republican","Strong Republican",0,1,"Big interests","Waste a lot",4,6,4,7,4,4,1,1,1,3,3,3,3,4,2,4,2,1,1,3,2,1,7,1,2,3,4,2,3,4,3,4,1,6
"625",51,"Woman","No","Heterosexual","White","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Working","No","Never served","Urban","Other Christian","Every week","Republican","Weak Republican",0,1,"Big interests","Waste a lot",3,5,7,4,4,3,4,1,1,3,1,5,5,7,4,4,3,3,1,1,7,2,6,1,2,3,2,1,5,1,4,6,5,6
"626",58,"Woman","No","Heterosexual","White","US state or DC","Married","Some college","$60,000–$99,999","Own/buying","Working","No","Never served","Small town","Jewish","A few times a year","Democrat","Weak Democrat",1,1,"Big interests","Waste some",5,3,2,1,4,4,1,3,2,3,1,2,1,4,3,4,3,5,4,2,1,1,1,4,1,1,1,3,6,7,3,1,7,1
"627",43,"Man","No","Heterosexual","Hispanic","US state or DC","Married","Bachelors","$250,000+","Own/buying","Working","No","Never served","Suburban","Jewish","Every week","Republican","Strong Republican",0,1,"Big interests","Waste a lot",1,5,6,6,6,6,1,1,1,1,3,3,3,7,1,3,3,3,1,6,4,4,7,1,2,1,7,2,5,1,6,1,1,4
"628",36,"Man","No","Heterosexual","White","US state or DC","Married","Bachelors","$250,000+","Own/buying","Working","No","Never served","Small town","Roman Catholic","Every week","Republican","Strong Republican",2,6,"Big interests","Waste a lot",1,5,7,7,7,6,3,2,1,1,3,4,3,7,2,2,4,1,1,2,4,2,7,1,3,5,7,1,2,1,7,6,2,4
"629",60,"Man","No","Heterosexual","Hispanic","Other country","Married","Bachelors","$60,000–$99,999","Own/buying","Working","No","Never served","Urban","Other religion","Every week","Republican","Strong Republican",0,1,"Big interests","Waste some",3,5,6,4,4,6,2,3,1,1,4,3,2,2,1,3,2,1,1,2,2,1,4,2,1,5,6,6,5,1,7,2,1,1
"630",72,"Man","No","Heterosexual","White","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Not working","No","Never served","Suburban","Other religion","A few times a year","Republican","Strong Republican",0,1,"Big interests","Waste a lot",2,7,5,4,7,6,1,5,1,1,2,3,5,7,1,4,3,3,1,7,4,4,7,7,1,1,1,1,5,1,5,4,1,4
"631",71,"Man","No","Heterosexual","White","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Not working","No","Never served","Suburban","Evangelical Protestant","A few times a year","Republican","Weak Republican",3,2,"Big interests","Waste a lot",4,5,4,4,5,5,3,2,1,1,2,3,3,4,2,4,4,1,1,3,4,2,7,1,1,1,1,4,5,1,5,2,1,1
"632",67,"Woman","No","Heterosexual","Multiracial","US state or DC","Divorced","Some college","$100,000–$249,999","Own/buying","Working","No","Never served","Suburban","Jewish","Every week","Republican","Strong Republican",0,1,"Big interests","Waste a lot",4,7,7,6,7,6,1,5,1,1,1,1,5,7,1,4,3,1,1,7,7,4,7,1,1,6,7,7,5,1,7,7,1,4
